instanceid,closed,opening,dayofweek,victim_gender,totalnumbervictims,totalsuspects
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
F028290C-ACCD-42AF-923D-21BE022AD1D0,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,1,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
2720A83C-26AF-436D-A459-4C6290E52CF2,D--VICTIM REFUSED TO COOPERATE,NA,SUNDAY,FEMALE,1,2
8F43EA91-CC1D-45EB-9B43-A76BE97C45EE,J--CLOSED,NA,WEDNESDAY,FEMALE,1,1
B2B397A4-B4BE-417A-A4E1-3C29BB49EDC5,Z--EARLY CLOSED,1 - DOOR,MONDAY,MALE,2,NA
9F8D840D-FFAA-4B23-9EE0-11E7701AAE2A,I--INVESTIGATION PENDING,NA,FRIDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
6FE3C90E-6A44-4106-8776-499AD00B41CA,Z--EARLY CLOSED,NA,TUESDAY,FEMALE,1,NA
D2E0C283-2B58-4827-8724-D7F9BD4AE966,J--CLOSED,NA,MONDAY,FEMALE,1,NA
9C7D7C20-EC25-44D8-A2BF-C10514E0450C,J--CLOSED,NA,MONDAY,NA,1,1
560A72D7-3C4F-4E95-ABCB-868B0DDDADD9,F--CLEARED BY ARREST - ADULT,NA,WEDNESDAY,FEMALE,1,NA
13B2F1CE-5305-406F-9E3F-D6DED512A4B7,F--CLEARED BY ARREST - ADULT,NA,THURSDAY,FEMALE,2,NA
